date,ndwi_mean,ndwi_median,ndti_mean,ndti_median,ndci_mean,ndci_median,month
2024-11-13 16:15:42.657000+00:00,0.2778189778327942,0.38461539149284363,-0.13720451295375824,-0.14189189672470093,0.048531919717788696,0.019607843831181526,11
2024-11-18 16:15:46.698000+00:00,0.21607333421707153,0.3221757411956787,-0.10053757578134537,-0.11219511926174164,0.06501635164022446,0.033557046204805374,11
2024-11-23 16:15:47.874000+00:00,0.3730844557285309,0.526627242565155,-0.17183904349803925,-0.18881118297576904,-0.042055726051330566,-0.10059171915054321,11
2024-11-28 16:15:45.296000+00:00,0.5294204950332642,0.6991150379180908,-0.24374502897262573,-0.26451611518859863,0.02252683974802494,-0.009345794096589088,11
2024-12-03 16:15:47.669000+00:00,0.32075491547584534,0.48691099882125854,-0.1795741617679596,-0.20408163964748383,-0.002196834422647953,-0.0602409653365612,12
2024-12-08 16:15:48.168000+00:00,0.3946065604686737,0.52173912525177,-0.22211109101772308,-0.2388664036989212,0.022368205711245537,-0.009708737954497337,12
2024-12-13 16:15:48.262000+00:00,0.4609014093875885,0.6477272510528564,-0.23105698823928833,-0.26940637826919556,-0.01902599073946476,-0.06896551698446274,12
2024-12-18 16:15:45.726000+00:00,0.5212723016738892,0.7043478488922119,-0.25836890935897827,-0.299435019493103,0.026994625106453896,0.0,12
2024-12-23 16:15:48.465000+00:00,0.46584704518318176,0.6296296119689941,-0.2513088881969452,-0.29113924503326416,-0.02388625033199787,-0.06666667014360428,12
2024-12-28 16:15:47.998000+00:00,0.5983331203460693,0.8217821717262268,-0.298979252576828,-0.3364928960800171,-0.006502948235720396,-0.03999999910593033,12
