date,ndwi_mean,ndwi_median,ndti_mean,ndti_median,ndci_mean,ndci_median,month
2024-06-16 16:15:49.809000+00:00,0.10652943700551987,0.1764705926179886,-0.11967268586158752,-0.1195652186870575,0.06336028128862381,0.02857142873108387,6
2024-06-21 16:15:51.780000+00:00,0.12959398329257965,0.20948617160320282,-0.13110849261283875,-0.1348511427640915,0.05097276717424393,0.01868239976465702,6
2024-06-26 16:15:50.568000+00:00,0.46130719780921936,0.6113989353179932,-0.34024009108543396,-0.34337350726127625,0.0817725658416748,0.043988268822431564,6
2024-07-01 16:15:50.374000+00:00,0.194859117269516,0.265193372964859,-0.17467257380485535,-0.17283950746059418,0.08708149194717407,0.0374753437936306,7
2024-07-06 16:15:50.205000+00:00,0.4981025457382202,0.6538461446762085,-0.3616032600402832,-0.39516130089759827,0.10348552465438843,0.0791366919875145,7
2024-07-11 16:15:49.823000+00:00,,,,,,,7
2024-07-16 16:15:50.155000+00:00,0.2698218524456024,0.5063291192054749,-0.24478819966316223,-0.27626457810401917,0.09290305525064468,0.02631578966975212,7
2024-07-21 16:15:48.531000+00:00,0.21132168173789978,0.2861035466194153,-0.19918526709079742,-0.209917351603508,0.14499613642692566,0.10914454609155655,7
2024-07-26 16:15:49.513000+00:00,0.007911033928394318,0.15217390656471252,-0.12249056994915009,-0.12291666865348816,0.12337858974933624,0.060653187334537506,7
2024-07-31 16:15:49.581000+00:00,0.4672771990299225,0.4599156081676483,-0.2406599521636963,-0.24268501996994019,0.05020885914564133,0.04374999925494194,7
2024-08-05 16:15:49.507000+00:00,,,,,,,8
2024-08-10 16:15:48.292000+00:00,0.06275872141122818,0.1355932205915451,-0.04802047461271286,-0.030927835032343864,0.13831327855587006,0.09287925809621811,8
2024-08-15 16:15:50.489000+00:00,0.24830499291419983,0.3272727131843567,-0.11515028774738312,-0.11910112202167511,0.08312618732452393,0.06401138007640839,8
2024-08-20 16:15:45.573000+00:00,0.06382129341363907,0.16211293637752533,-0.0637078732252121,-0.05997210741043091,0.09497259557247162,0.05586592108011246,8
2024-08-25 16:15:47.774000+00:00,0.3156486749649048,0.4261315166950226,-0.15668728947639465,-0.1595744639635086,0.15441477298736572,0.1190476194024086,8
2024-08-30 16:15:45.860000+00:00,0.13788901269435883,0.2164948433637619,-0.07202473282814026,-0.06178489699959755,0.13289304077625275,0.08584687113761902,8
2024-09-04 16:15:48.080000+00:00,0.23524686694145203,0.28316831588745117,-0.09958197921514511,-0.09743589907884598,0.04903973266482353,0.032185181975364685,9
2024-09-09 16:15:46.149000+00:00,-0.0757560133934021,-0.03917083889245987,-0.04756871610879898,-0.049889080226421356,0.11798275262117386,0.10982658714056015,9
2024-09-14 16:15:46.455000+00:00,,,,,,,9
2024-09-19 16:15:47.888000+00:00,0.4943748116493225,0.6206896305084229,-0.16279751062393188,-0.16326530277729034,0.15235154330730438,0.1214953288435936,9
2024-09-24 16:15:45.486000+00:00,0.1980632245540619,0.28654971718788147,-0.11166828870773315,-0.10086455196142197,0.09736490994691849,0.055374592542648315,9
2024-09-29 16:15:49.137000+00:00,0.37188035249710083,0.5147058963775635,-0.17434406280517578,-0.1818181872367859,0.15366998314857483,0.1171875,9
2024-10-04 16:15:47.935000+00:00,0.3067382872104645,0.4137931168079376,-0.12346568703651428,-0.1267605572938919,0.09627900272607803,0.06194690242409706,10
2024-10-09 16:15:43.647000+00:00,,,,,,,10
2024-10-14 16:15:46.435000+00:00,0.19542714953422546,0.32374101877212524,-0.08272309601306915,-0.08461538702249527,0.10043735802173615,0.0714285746216774,10
2024-10-19 16:15:46.958000+00:00,0.0029777062591165304,0.14403292536735535,-0.0278131365776062,-0.0276008490473032,0.1442336142063141,0.09774436056613922,10
2024-10-24 16:15:47.693000+00:00,0.24264124035835266,0.36734694242477417,-0.076783686876297,-0.08280254900455475,0.10677921026945114,0.07382550090551376,10
2024-10-29 16:15:47.601000+00:00,0.2841237485408783,0.40145984292030334,-0.09639342129230499,-0.10000000149011612,0.05931859090924263,0.02158273383975029,10
2024-11-03 16:15:44.320000+00:00,0.3225860297679901,0.4803149700164795,-0.12898965179920197,-0.13567839562892914,0.09806980937719345,0.06122449040412903,11
2024-11-08 16:15:43.998000+00:00,-0.09773606806993484,0.020408162847161293,-0.021372398361563683,-0.021276595070958138,0.09948864579200745,0.05347593501210213,11
2024-11-13 16:15:42.657000+00:00,0.2773239314556122,0.38461539149284363,-0.13712717592716217,-0.1418439745903015,0.04869711399078369,0.01976284570991993,11
2024-11-18 16:15:46.698000+00:00,0.21590547263622284,0.32231405377388,-0.10046999901533127,-0.11210761964321136,0.06520452350378036,0.033707864582538605,11
2024-11-23 16:15:47.874000+00:00,0.37278613448143005,0.526627242565155,-0.17178963124752045,-0.18867924809455872,-0.04194873571395874,-0.1004016101360321,11
2024-11-28 16:15:45.296000+00:00,0.5290190577507019,0.6991150379180908,-0.2436847686767578,-0.26451611518859863,0.02264939807355404,-0.009345794096589088,11
2024-12-03 16:15:47.669000+00:00,0.3203537166118622,0.4868420958518982,-0.1795216202735901,-0.20408163964748383,-0.00209392374381423,-0.0602409653365612,12
2024-12-08 16:15:48.168000+00:00,0.3943433463573456,0.52173912525177,-0.22197537124156952,-0.23880596458911896,0.02237924374639988,-0.009708737954497337,12
2024-12-13 16:15:48.262000+00:00,0.46053627133369446,0.6476190686225891,-0.2309415191411972,-0.26937270164489746,-0.01897919364273548,-0.06896551698446274,12
