date,ndwi_mean,ndwi_median,ndti_mean,ndti_median,ndci_mean,ndci_median
2021-09-25 16:15:36.049,0.2579227089881897,0.5057034492492676,-0.12155334651470184,-0.11874999850988388,0.07391297817230225,0.05984766036272049
2021-09-25 16:15:50.597,0.34160667657852173,0.5354604125022888,-0.15657863020896912,-0.15937500074505806,0.06934716925024986,0.054923830553889275
2021-09-30 16:15:31.850,0.3024748812119166,0.5158277750015259,-0.14170744021733603,-0.13814300547043482,0.06444685533642769,0.04725587492187818
2021-09-30 16:15:31.851,0.3025189091761907,0.5275878310203552,-0.1410252476731936,-0.1334122195839882,0.05530634398261706,0.036156212290128074
2021-09-30 16:15:46.406,0.31719009578227997,0.5534677505493164,-0.15252738445997238,-0.15115184833606085,0.030096628703176975,0.01814001767585675
2021-09-30 16:15:46.408,0.4037788410981496,0.611887534459432,-0.19313943634430566,-0.20687788973251978,0.0046736203754941625,0.002827132741610209
2021-10-10 16:15:33.366,0.3862396528323491,0.5409744183222452,-0.19368774443864822,-0.20496783405542374,0.011315306338171164,0.011390106131633123
2021-10-10 16:15:33.366,0.3176279316345851,0.49543871482213336,-0.1643055652578672,-0.15927505741516748,0.035518886521458626,0.02981743247558673
2021-10-10 16:15:42.470,0.27966558436552685,0.46490124861399335,-0.14343614131212234,-0.14285342146952948,0.05178040576477846,0.03449032952388128
2021-10-10 16:15:42.471,0.33916373054186505,0.5443753798802694,-0.16292614738146463,-0.18426990509033203,0.04071136501928171,0.019566789579888184
2021-10-10 16:15:49.255,0.4263974726200104,0.6045040289560953,-0.19941956798235574,-0.2420476128657659,0.01557169109582901,-0.014059472518662611
2021-10-15 16:15:52.418,0.5178235669930776,0.6923789381980896,-0.25510547558466595,-0.29042692482471466,-0.009824521218736967,-0.031008624471724033
2021-10-20 16:15:33.991,0.4323991884787877,0.4961767327040434,-0.23189743608236313,-0.24309497574965158,-0.0042623622963825865,-0.023854009807109833
2021-10-20 16:15:33.992,0.30668458839257556,0.27060167646656436,-0.18827247619628906,-0.17136267324288687,0.015820397684971493,0.0029591756562391915
2021-10-20 16:15:48.547,0.21283896267414093,0.16815146462370953,-0.14377287030220032,-0.1329603890577952,0.033084008221824966,0.012297977382938067
2021-10-20 16:15:48.549,0.28236547112464905,0.3400738372777899,-0.17408582816521326,-0.18663511673609415,0.018066292628645897,-0.004039068395892779
2021-11-09 16:15:32.334,0.29820866882801056,0.343138188123703,-0.18088534474372864,-0.18614803751309714,0.024292119468251865,0.00011689526339371999
2021-11-09 16:15:32.335,0.25224026540915173,0.31205066045125324,-0.162577822804451,-0.1433069333434105,0.04200680429736773,0.01990886280934016
2021-11-09 16:15:46.887,0.26962676147619885,0.35203929742177326,-0.17643033464749655,-0.15897168467442194,0.040810373068476714,0.020758807038267452
2021-11-09 16:15:46.889,0.34531192978223163,0.5571408768494924,-0.21647079785664877,-0.23712069541215897,0.020428240997716784,0.0013629971072077751
2021-11-14 16:15:33.725,0.44300617774327594,0.653494119644165,-0.25463808079560596,-0.3072592516740163,-0.005463954604541262,-0.02457523439079523
2021-11-24 16:15:32.481,0.38753452400366467,0.5781669716040293,-0.21392979472875595,-0.2409510686993599,0.011765768441061178,-0.008032149635255337
2021-11-24 16:15:47.035,0.41326260070006055,0.6214647988478342,-0.21468141923348108,-0.2425545131166776,0.003756502022345861,-0.015877538671096165
2021-11-29 16:15:27.970,0.34853513538837433,0.6280570328235626,-0.19477484871943793,-0.21910895655552545,0.012568749797840914,-0.006917087671657403
2021-11-29 16:15:42.521,0.47481246789296466,0.7948237856229147,-0.2784508268038432,-0.3357173005739848,-0.03259711309025685,-0.04325770307332277
2021-12-04 16:15:46.301,0.4696953495343526,0.8085389137268066,-0.28011173009872437,-0.34782608350118,-0.037270315922796726,-0.04916378203779459
2021-12-04 16:15:46.303,0.4935445586840312,0.7844611406326294,-0.2937817523876826,-0.3640343149503072,-0.04471985064446926,-0.05184585849444071
2021-12-19 16:15:41.306,0.40749941269556683,0.646384040514628,-0.24091700712839761,-0.29158639907836914,-0.01560822936395804,-0.02887149869153897
2021-12-24 16:15:33.804,0.3259818305571874,0.3672298652430375,-0.20584874351819357,-0.1918055166800817,0.008197270954648653,-0.002911279909312725
2021-12-24 16:15:33.805,0.29118533432483673,0.2700955234467983,-0.1844497174024582,-0.1222904846072197,0.02272259257733822,0.008829534364243349
2021-12-24 16:15:48.350,0.3504662861426671,0.40843162561456364,-0.21586520473162332,-0.18253501504659653,7.662239174048106e-05,-0.014958826204140982
2021-12-24 16:15:48.352,0.4639851252237956,0.7298923631509145,-0.2761299212773641,-0.3122309222817421,-0.04110066903134187,-0.055305035784840584
2021-12-29 16:15:28.178,0.44855914016564685,0.6012736465781927,-0.27344581484794617,-0.3079839174946149,-0.042685518662134804,-0.06158138889198502
2021-12-29 16:15:28.179,0.37570607165495556,0.5007445520410935,-0.23803007105986276,-0.23521492630243301,-0.02059977819832663,-0.04232060614352425
2021-12-29 16:15:42.729,0.36351817349592846,0.48312820059557754,-0.23969605068365732,-0.2278529480099678,-0.008600846631452441,-0.031643921664605536
2021-12-29 16:15:42.731,0.4819255272547404,0.7937527298927307,-0.307693546017011,-0.35033266246318817,-0.04085575362357,-0.05954467381040255
2022-01-03 16:15:34.106,0.3995600529015064,0.5683815280596415,-0.2652265429496765,-0.29933055117726326,-0.029658882568279903,-0.04803388255337874
2022-01-03 16:15:48.660,0.3177998053530852,0.4399147133032481,-0.2056374798218409,-0.22731108839313188,-0.017333592909077804,-0.042952861015995346
