,ndwi_mean,ndwi_median,ndti_mean,ndti_median,ndci_mean,ndci_median
May,0.13445179856249265,0.15418755316308566,-0.11939076972859246,-0.11600348992007119,0.032407175217356,0.006759627372957766
July,0.23995831608772278,0.31168830394744873,-0.16983464360237122,-0.196891188621521,0.09672814607620239,0.08650518953800201
September,0.3287116140127182,0.5037460476160049,-0.1408284232020378,-0.15924499928951263,0.07758962363004684,0.06157230585813522
October,0.19798237681388856,0.2435403447598219,-0.07179373577237129,-0.07182232607156039,0.0637419916689396,0.047179861553013326
November,0.22258577942848207,0.2200111538171768,-0.10286699458956719,-0.09841646142303943,0.030566326016560195,0.006858488172292709
December,0.2631899043917656,0.35812627524137497,-0.13748867685596147,-0.14391845227995267,0.01292692711770845,-0.009928302528957525
