,ndwi_mean,ndwi_median,ndti_mean,ndti_median,ndci_mean,ndci_median
May,-0.10044626252991813,-0.16270858475140162,-0.017737380761121,0.01729090338838952,0.07413965303983007,0.05778638273477554
July,0.025832371786236763,0.05723905563354492,-0.04817480593919754,-0.04627450928092003,0.11515688896179199,0.10368242114782333
September,-0.01842617243528366,-0.04936377331614494,-0.032917612697929144,-0.022431003395467997,0.11385121569037437,0.09958631545305252
October,-0.07059922851622105,-0.07363538891077041,-0.0026022579520940782,0.0017677992582321167,0.08849636018276215,0.06903465017676354
November,-0.09555108174681663,-0.18225601278245449,-0.015071066841483117,0.0016014558728784322,0.08313175737857818,0.06944012455642223
December,-0.047626791114453226,-0.18105856453378996,-0.032303755482037864,0.010743004134080062,0.07584986587365468,0.060435798640052475
