month,ndwi_mean,ndwi_median,ndti_mean,ndti_median,ndci_mean,ndci_median
August,-0.11342581480064175,-0.19930327819152313,-0.10139832764186642,-0.095947731370953,0.160359515723857,0.12839240377599542
September,0.01917870797436027,-0.03226539163905032,-0.1507354703019647,-0.15146937440423405,0.1325222415959134,0.10219991322168533
October,-0.012737892787246144,-0.08493085205554962,-0.10974235635469942,-0.10595814182477839,0.13916520610013428,0.12172261040712543
November,0.10670550692487847,0.06739255955273454,-0.13009859435260296,-0.1333326604217291,0.0794769675386223,0.06064595544541424
December,0.07884098563686405,-0.028528002397108235,-0.14460789231509952,-0.12142186383961846,0.08399106081771224,0.07378558005745474
